datahora,iter,fitness,SE_med,SE_min,SE_5,RISx,RISy,RISz,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_18,se_19,se_20
2026-06-03 16:35:25,1,0.295559,2.954418,0.000130,0.125156,8.6916,13.2551,4.0000,0.268465,3.952185,7.193707,7.244756,7.271750,1.675595,2.350536,0.933426,0.250183,4.967948,2.089051,0.319800,0.648064,8.291372,0.296620,8.620058,0.000130,1.670253,0.281565,0.762894
2026-06-03 16:35:25,2,0.370039,2.558484,0.126878,0.132428,34.9209,19.8481,4.0000,0.148619,1.346945,6.966031,7.013225,7.033314,0.966183,0.988578,1.545903,0.137978,4.983432,0.979899,0.194932,0.538804,7.984427,0.169308,8.246069,0.126878,0.874534,0.158750,0.765867
2026-06-03 16:35:26,3,0.370039,2.558484,0.126878,0.132428,34.9209,19.8481,4.0000,0.148619,1.346945,6.966031,7.013225,7.033314,0.966183,0.988578,1.545903,0.137978,4.983432,0.979899,0.194932,0.538804,7.984427,0.169308,8.246069,0.126878,0.874534,0.158750,0.765867
2026-06-03 16:35:26,4,0.370039,2.558484,0.126878,0.132428,34.9209,19.8481,4.0000,0.148619,1.346945,6.966031,7.013225,7.033314,0.966183,0.988578,1.545903,0.137978,4.983432,0.979899,0.194932,0.538804,7.984427,0.169308,8.246069,0.126878,0.874534,0.158750,0.765867
2026-06-03 16:35:27,5,0.378352,2.567704,0.135091,0.137204,35.5342,19.1993,4.0000,0.150746,1.337649,6.960379,7.008121,7.028132,0.958652,0.968414,1.685156,0.139316,4.993702,0.956955,0.197952,0.569613,7.982560,0.172260,8.244431,0.135091,0.873782,0.161196,0.829976
2026-06-03 16:35:27,6,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:28,7,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:28,8,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:29,9,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:29,10,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:30,11,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:30,12,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:30,13,0.381329,2.569751,0.138171,0.139395,34.5504,19.2048,4.0000,0.149341,1.362563,6.971084,7.018535,7.037340,1.035218,1.021211,1.514097,0.138171,4.975233,1.023216,0.194851,0.545692,7.985762,0.170252,8.247638,0.140619,0.928307,0.159484,0.776399
2026-06-03 16:35:31,14,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:31,15,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:32,16,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:32,17,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:33,18,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:33,19,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:34,20,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:34,21,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:35,22,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:35,23,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:36,24,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:36,25,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:37,26,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:37,27,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:38,28,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:38,29,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:38,30,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:39,31,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:39,32,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:40,33,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
2026-06-03 16:35:40,34,0.382520,2.573818,0.139042,0.142392,35.0667,18.8015,4.0000,0.150733,1.352648,6.965598,7.013444,7.032456,1.018499,0.999194,1.610908,0.139042,4.982620,0.996835,0.196927,0.567036,7.984064,0.172212,8.246076,0.145742,0.920123,0.161099,0.821097
