datahora,iter,fitness,SE_med,SE_min,SE_5,RISx,RISy,RISz,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_18,se_19,se_20
2026-06-03 16:59:41,1,0.804078,3.215632,0.000227,0.221963,3.3545,13.1502,4.0000,0.472071,4.161352,7.312561,7.361408,7.393344,2.172600,2.887109,1.373169,0.443699,5.100443,2.620653,0.552466,1.013917,8.419516,0.515956,8.688808,0.000227,2.169134,0.492652,1.161556
2026-06-03 16:59:42,2,0.804078,3.215632,0.000227,0.221963,3.3545,13.1502,4.0000,0.472071,4.161352,7.312561,7.361408,7.393344,2.172600,2.887109,1.373169,0.443699,5.100443,2.620653,0.552466,1.013917,8.419516,0.515956,8.688808,0.000227,2.169134,0.492652,1.161556
2026-06-03 16:59:42,3,0.804078,3.215632,0.000227,0.221963,3.3545,13.1502,4.0000,0.472071,4.161352,7.312561,7.361408,7.393344,2.172600,2.887109,1.373169,0.443699,5.100443,2.620653,0.552466,1.013917,8.419516,0.515956,8.688808,0.000227,2.169134,0.492652,1.161556
2026-06-03 16:59:43,4,0.839046,3.356113,0.000024,0.274138,2.3766,12.6174,4.0000,0.582160,4.424791,7.370693,7.419451,7.450977,2.428287,3.147883,1.588181,0.548252,5.163911,2.879555,0.676019,1.199613,8.474009,0.633872,8.739221,0.000024,2.427807,0.606394,1.361153
2026-06-03 16:59:43,5,0.839046,3.356113,0.000024,0.274138,2.3766,12.6174,4.0000,0.582160,4.424791,7.370693,7.419451,7.450977,2.428287,3.147883,1.588181,0.548252,5.163911,2.879555,0.676019,1.199613,8.474009,0.633872,8.739221,0.000024,2.427807,0.606394,1.361153
2026-06-03 16:59:44,6,0.839046,3.356113,0.000024,0.274138,2.3766,12.6174,4.0000,0.582160,4.424791,7.370693,7.419451,7.450977,2.428287,3.147883,1.588181,0.548252,5.163911,2.879555,0.676019,1.199613,8.474009,0.633872,8.739221,0.000024,2.427807,0.606394,1.361153
2026-06-03 16:59:44,7,0.839046,3.356113,0.000024,0.274138,2.3766,12.6174,4.0000,0.582160,4.424791,7.370693,7.419451,7.450977,2.428287,3.147883,1.588181,0.548252,5.163911,2.879555,0.676019,1.199613,8.474009,0.633872,8.739221,0.000024,2.427807,0.606394,1.361153
2026-06-03 16:59:45,8,0.922262,3.688970,0.000026,0.412278,1.0000,11.2338,4.0000,0.872119,5.026865,7.510886,7.560071,7.589431,3.004605,3.725291,2.087563,0.824529,5.315515,3.457320,0.995150,1.648490,8.602070,0.941784,8.865053,0.000026,3.012508,0.904632,1.835498
2026-06-03 16:59:45,9,0.922262,3.688970,0.000026,0.412278,1.0000,11.2338,4.0000,0.872119,5.026865,7.510886,7.560071,7.589431,3.004605,3.725291,2.087563,0.824529,5.315515,3.457320,0.995150,1.648490,8.602070,0.941784,8.865053,0.000026,3.012508,0.904632,1.835498
2026-06-03 16:59:46,10,0.922262,3.688970,0.000026,0.412278,1.0000,11.2338,4.0000,0.872119,5.026865,7.510886,7.560071,7.589431,3.004605,3.725291,2.087563,0.824529,5.315515,3.457320,0.995150,1.648490,8.602070,0.941784,8.865053,0.000026,3.012508,0.904632,1.835498
